X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-8.154701515,51.81250436,10001,CORK,Corcaigh,CORK,,Td,Bf,N,,45288,TULLAHEEN MORE,An Tulaichín Mór,,,189380,62197,589333,562261,,,Fiontar,,
-8.988413534,51.89098517,10002,CORK,Corcaigh,CORK,,Td,Bf,N,,45289,TULLATREADA,Tulaigh Tréada,,,132001,71380,531966,571442,,,Fiontar,,
-8.869571111,51.67844847,10003,CORK,Corcaigh,CORK,,Td,Bf,N,,45290,TULLIG,An Tulaigh,,,139901,47627,539864,547695,,,Fiontar,,
-8.560456102,51.99059689,10004,CORK,Corcaigh,CORK,,Td,Bf,N,,45291,TULLIG,An Tulaigh,,,161549,82150,561508,582210,,,Fiontar,,
-9.612000553,51.61286011,10005,CORK,Corcaigh,CORK,,Td,Bf,N,,45292,TULLIG,An Tulaigh,,,88388,41203,488362,541272,,,Fiontar,,
-9.088251496,51.61910866,10006,CORK,Corcaigh,CORK,,Td,Bf,N,,45293,TULLIG,An Tulaigh,,,124677,41228,524643,541297,,,Fiontar,,
-9.020989662,52.04481184,10007,CORK,Corcaigh,CORK,,Td,Bf,N,,45294,TULLIG,An Tulaigh,,,129999,88526,529964,588585,,,Fiontar,,
-8.72892692,52.23535273,10008,CORK,Corcaigh,CORK,,Td,Bf,N,,45295,TULLIG,An Tulaigh,,,150250,109487,550211,609541,,,Fiontar,,
-8.517539508,51.81927909,10009,CORK,Corcaigh,CORK,,Td,Bf,N,,45296,TULLIG BEG,An Tulaigh Bheag,,,164362,63066,564320,563130,,,Fiontar,,
-8.742782891,51.93426853,10010,CORK,Corcaigh,CORK,,Td,Bf,N,,45297,TULLIG BEG,An Tulaigh Bheag,,,148961,75995,548922,576056,,,Fiontar,,
-8.764065251,51.94751734,10011,CORK,Corcaigh,CORK,,Td,Bf,N,,45298,TULLIG MORE,An Tulaigh Mhór,,,147512,77484,547474,577545,,,Fiontar,,
-8.529824017,51.820402,10012,CORK,Corcaigh,CORK,,Td,Bf,N,,45299,TULLIG MORE,An Tulaigh Mhór,,,163516,63197,563474,563261,,,Fiontar,,
-8.97022683,51.59436038,10013,CORK,Corcaigh,CORK,,Td,Bf,N,,45300,TULLIGEE,Tulaigh Ghaoithe,,,132815,38359,532779,538429,,,Fiontar,,
-9.039375785,51.67006559,10014,CORK,Corcaigh,CORK,,Td,Bf,N,,45301,TULLYGLASS,An Tulaigh Ghlas,,,128143,46848,528108,546916,,,Fiontar,,
-8.832995279,51.76398915,10015,CORK,Corcaigh,CORK,,Td,Bf,N,,45302,TULLYGLASS,An Tulach Ghlas,,,142539,57115,542502,557181,,,Fiontar,,
-8.861062176,51.76421841,10016,CORK,Corcaigh,CORK,,Td,Bf,N,,45303,TULLYGLASS,An Tulach Ghlas,,,140602,57163,540565,557229,,,Fiontar,,
-8.695218786,51.72815353,10017,CORK,Corcaigh,CORK,,Td,Bf,N,,45304,TULLYLAND,Tulaigh Fhaoláin,,,152013,53029,551974,553095,,,Fiontar,,
-8.935280042,52.31371913,10018,CORK,Corcaigh,CORK,,Td,Bf,N,,45305,TULLYLEASE,Tulach Léis,,,136265,118369,536229,618421,,,Fiontar,,
-8.836427564,51.69647074,10019,CORK,Corcaigh,CORK,,Td,Bf,N,,45306,TULLYMURRIHY,Tulaigh Uí Mhuirithe,,,142216,49606,542179,549673,,,Fiontar,,
-8.964977624,51.60751989,10020,CORK,Corcaigh,CORK,,Td,Bf,N,,45307,TULLYNEASKY EAST,Tulaigh Naosca Thoir,,,133198,39819,533162,539888,,,Fiontar,,
-8.977510821,51.60555529,10021,CORK,Corcaigh,CORK,,Td,Bf,N,,45308,TULLYNEASKY WEST,Tulaigh Naosca Thiar,,,132326,39612,532291,539681,,,Fiontar,,
-8.721375859,51.80988125,10022,CORK,Corcaigh,CORK,,Td,Bf,N,,45309,TUOCUSHEEN,Tuath an Chúisínigh,,,150296,62140,550257,562204,,,Fiontar,,
-8.260073831,52.23615725,10023,CORK,Corcaigh,CORK,,Td,Bf,N,,45310,TURBEAGH,Tor Beithigh,,,182282,109358,582236,609412,,,Fiontar,,
-9.409696385,51.49916579,10024,CORK,Corcaigh,CORK,,Td,Bf,N,,45311,TURKHEAD,Ceann Toirc,,,102157,28264,502128,528336,,,Fiontar,,
-9.182975724,51.85257527,10025,CORK,Corcaigh,CORK,,Td,Bf,N,,45312,TURNASPIDOGY,Tír na Spideoige,,,118537,67306,518505,567369,,,Fiontar,,
-8.812477629,52.17744013,10026,CORK,Corcaigh,CORK,,Td,Bf,N,,45313,TWO GNEEVES,Dhá Ghníomh,,,144470,103104,544432,603159,,,Fiontar,,
-9.142501401,52.1230807,10027,CORK,Corcaigh,CORK,,Td,Bf,N,,45314,TWO GNEEVES,Dhá Ghníomh,,,121799,97359,521766,597416,,,Fiontar,,
-8.652314176,52.19046146,10028,CORK,Corcaigh,CORK,,Td,Bf,N,,45315,TWOPOTHOUSE,Tigh an Dá Phota,,,155439,104442,555399,604497,,,Fiontar,,
-9.118213914,51.95481743,10029,CORK,Corcaigh,CORK,,Td,Bf,Y,,45316,ULLANES EAST,Na hUláin Thoir,,,123174,78611,523141,578672,2,872,FJF,2007-01-12T00:00:00.000Z,
-9.132206343,51.95234644,10030,CORK,Corcaigh,CORK,,Td,Bf,Y,,45317,ULLANES WEST,Na hUláin Thiar,,,122208,78351,522175,578412,2,872,FJF,2007-01-12T00:00:00.000Z,
-9.677627804,51.6914066,10031,CORK,Corcaigh,CORK,,Td,Bf,N,,45318,ULUSKER,Ula Oscair,,,84043,50044,484018,550111,,,Fiontar,,
-8.918468573,51.90429886,10032,CORK,Corcaigh,CORK,,Td,Bf,N,,45319,UMMERA,An tIomaire,,,136835,72798,536799,572860,,,Fiontar,,
-8.770589302,51.65793286,10033,CORK,Corcaigh,CORK,,Td,Bf,N,,45320,UMMERA,An tIomaire,,,146723,45268,546685,545336,,,Fiontar,,
-9.150863647,52.13758889,10034,CORK,Corcaigh,CORK,,Td,Bf,N,,45321,UMMERABOY EAST,An tIomaire Buí Thoir,,,121252,98983,521219,599039,,,Fiontar,,
-9.181039151,52.13237343,10035,CORK,Corcaigh,CORK,,Td,Bf,N,,45322,UMMERABOY WEST,An tIomaire Buí Thiar,,,119176,98435,519144,598492,,,Fiontar,,
-9.111601975,51.71472202,10036,CORK,Corcaigh,CORK,,Td,Bf,N,,45323,UNDERHILL,Bun an Chnoic,,,123221,51890,523188,551957,,,Fiontar,,
-9.997399458,51.66359394,10037,CORK,Corcaigh,CORK,,Td,Bf,N,,45324,URHIN,Iorthan,,,61848,47506,461828,547574,,,Fiontar,,
